Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
6/4/2019,22°C,34°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
7/4/2019,22°C,33°C,13 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
8/4/2019,21°C,25°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
9/4/2019,21°C,27°C,11 Km/h,N/A,N/A,N/A,N/A,,Chuva
10/4/2019,17°C,30°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/4/2019,18°C,31°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/4/2019,20°C,32°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/04/2019,22°C,31°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
14/04/2019,21°C,25°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
15/04/2019,19°C,30°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/04/2019,21°C,31°C,21 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
17/04/2019,20°C,30°C,15 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
18/04/2019,18°C,31°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/04/2019,14°C,30°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/04/2019,15°C,31°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
21/04/2019,16°C,32°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
22/04/2019,17°C,32°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/04/2019,19°C,31°C,15 Km/h,28 Km/h,0mm,N/A,N/A,,eventos climáticos não informados
24/04/2019,19°C,32°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/04/2019,20°C,32°C,13 Km/h,N/A,N/A,N/A,N/A,,Chuva
26/04/2019,20°C,32°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/04/2019,20°C,32°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/04/2019,19°C,32°C,28 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/04/2019,21°C,29°C,26 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
30/04/2019,16°C,30°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/5/2019,17°C,30°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
2/5/2019,21°C,30°C,9 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
3/5/2019,20°C,31°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
4/5/2019,21°C,31°C,13 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
5/5/2019,19°C,31°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
6/5/2019,20°C,31°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
7/5/2019,20°C,32°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
8/5/2019,19°C,31°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/5/2019,19°C,31°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
10/5/2019,20°C,30°C,15 Km/h,N/A,N/A,N/A,N/A,,Chuva
11/5/2019,20°C,30°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/5/2019,21°C,31°C,37 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/05/2019,20°C,31°C,N/A,N/A,N/A,N/A,N/A,,Chuva
14/05/2019,19°C,30°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/05/2019,18°C,26°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/05/2019,13°C,28°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
21/05/2019,13°C,28°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
22/05/2019,13°C,29°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/05/2019,12°C,30°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/05/2019,15°C,26°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/05/2019,12°C,22°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/05/2019,8°C,26°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/05/2019,9°C,30°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/05/2019,12°C,31°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/05/2019,16°C,30°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
30/05/2019,18°C,32°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
31/05/2019,16°C,31°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/6/2019,16°C,31°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
2/6/2019,16°C,31°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
3/6/2019,16°C,23°C,24 Km/h,N/A,N/A,N/A,N/A,,Chuva
4/6/2019,16°C,23°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
5/6/2019,9°C,24°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
6/6/2019,11°C,27°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
7/6/2019,12°C,26°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
8/6/2019,11°C,25°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/6/2019,10°C,27°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
10/6/2019,13°C,27°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/6/2019,13°C,28°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/6/2019,13°C,28°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
13/06/2019,17°C,30°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
14/06/2019,18°C,29°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
15/06/2019,14°C,29°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
16/06/2019,15°C,29°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/06/2019,15°C,27°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
18/06/2019,13°C,29°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/06/2019,14°C,29°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/06/2019,13°C,29°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
21/06/2019,15°C,27°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
22/06/2019,14°C,27°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/06/2019,13°C,27°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/06/2019,12°C,27°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/06/2019,12°C,30°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/06/2019,16°C,31°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
27/06/2019,16°C,28°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/06/2019,16°C,31°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/06/2019,16°C,30°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
30/06/2019,15°C,30°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/7/2019,14°C,30°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
